"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"msn:Mission_Information:1           ","Class","Mission_Information","1.0.0.0","msn","The Mission_Information class provides information about a mission.","img","","","","","","","","","","",""
"msn:Mission_Information:2            msn:mission_phase_name:1            ","Attribute","mission_phase_name","n/a","msn","The mission_phase_name identifies a time period within the mission.","img","ASCII_Short_String_Preserved","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"msn:Mission_Information:2            msn:mission_phase_name:2             Value:ATLO","Value","ATLO","","","The ATLO mission phase (Assembly, Test, and Launch Operations) is the time of spacecraft and instrument assembly and test. During this phase data products are generated using flight hardware. They are usually not part of the final PDS archive but may be used for testing and peer review. "
"msn:Mission_Information:2            msn:mission_phase_name:2             Value:CRUISE","Value","CRUISE","","","The cruise mission phase is from the time of escape from Earth's orbit through the time of entry into Mars' orbit. Some data products may be generated during this time, including instrument checkout data."
"msn:Mission_Information:2            msn:mission_phase_name:2             Value:DEVELOPMENT","Value","DEVELOPMENT","","","The development mission phase refers to the period of data processing software development and testing, before instruments are integrated with the spacecraft. Data products generated during this phase are usually not part of the final PDS archive but may be used for testing and peer review."
"msn:Mission_Information:2            msn:mission_phase_name:2             Value:SURFACE MISSION","Value","SURFACE MISSION","","","The surface mission phase is the time from arrival at Mars through the end of surface operations, including the primary mission and any extended missions that may take place."
"msn:Mission_Information:2            msn:mission_phase_name:2             Value:TEST","Value","TEST","","","The test mission phase is not a time period but a placeholder for the mission_phase_name value, used for data products generating during all project tests such as ORTs, SVTs and thread tests. Data products generated in this way are usually not part of the final PDS archive but may be used for testing and peer review."
"msn:Mission_Information:2            msn:mission_phase_identifier:1      ","Attribute","mission_phase_identifier","n/a","msn","The mission_phase_identifier attribute provides an identifier for a mission phase.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"msn:Mission_Information:2            msn:release_number:1                ","Attribute","release_number","n/a","msn","Release_number is the number of a scheduled release of data from the provider to PDS. The first data release is typically Release 1. The release_number for a given product is always the first release in which it appears, and does not change if the product is revised later.","img","ASCII_Integer","0","1","1","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"msn:Observation_Conditions:1        ","Class","Observation_Conditions","1.0.0.0","msn","The Observation_Conditions class defines the conditions under which the observation was acquired. Items in this class apply to the entire observation. Items that apply to the start or stop of an observation appear in Observation_Start_Conditions or Observation_Stop_Conditions. Note that some items may appear here while other items are specific to start and stop.","img","","","","","","","","","","",""
"msn:Observation_Conditions:2         msn:spacecraft_clock_start:1        ","Attribute","spacecraft_clock_start","n/a","msn","The spacecraft_clock_start is the value of the spacecraft clock at the beginning of the observation.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"msn:Observation_Conditions:2         msn:spacecraft_clock_stop:1         ","Attribute","spacecraft_clock_stop","n/a","msn","The spacecraft_clock_stop is the value of the spacecraft clock at the end of the observation. spacecraft_clock_stop should only be used if there's also a spacecraft_clock_start value.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"msn:Observation_Conditions:2         msn:spacecraft_clock_partition:1    ","Attribute","spacecraft_clock_partition","n/a","msn","The spacecraft_clock_partition provides the clock partition active for the spacecraft_clock attribute.","img","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"msn:Surface_Observation_Conditions:1","Class","Surface_Observation_Conditions","1.0.0.0","msn","The Surface_Observation_Conditions class ","img","","","","","","","","","","",""
"msn:Surface_Observation_Conditions:2 msn:start_sol_number:1              ","Attribute","start_sol_number","n/a","msn","The start_sol_number is the number of the Mars day on which an observation began. Landing day is Sol 0.","img","ASCII_Integer","0","1","0","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
